platform,title,url,cover_url,author,published_at,like_count,comment_count,collect_count,share_count,hot_score,recent_hot_score,case_type,built_thing,tool_stack,target_audience,hook,content_value,evidence_level,monetization_signal,risk_flag,primary_category,category_label,product_forms,tools,motives,audience,confidence,description,source,keyword
douyin,我花了2周时间用AI做出了一款火爆全网的app #Vibecoding #vibecoding大赏 @抖音科技 这是一款本人用 Codex零代码开发的一款Mac系统原生软件，是一款强大的效率工具！支持一秒直达应用、拼音首字母搜应用、截图、录屏、改图、剪视频、剪贴版等等高频使用场景的能力，整个软件安装包不到13MB，欢迎免费使用！,https://www.iesdouyin.com/share/video/7652562183117346624/?region=US&mid=7652562127282015011&u_code=0&did=MS4wLjABAAAAfKEZXNrboo_1ajqRtA2k77MgpJIzAXxJdgqShQWGLLY&iid=MS4wLjABAAAAWqobcScA7pxGV2NneXWu5HMkCpucXLOmFVaFfTGfo9Y&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=1S_JFGQWVUuErNuv1hbRCWwYm0Fr.8BwQKs00ltZZjA-&share_version=320900&ts=1782807021&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p26-sign.douyinpic.com/tos-cn-i-0813c000-ce/oUBEPukYIw3AoIMCFmTDfES9zCAFAA1wA6eqQb~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=2026063016102051E1FA42D588112D1CBC&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=vIX72Y1UomtX5QmxGzUJ6su2ep0%3D,土豆浪浪,2026-06-18,7694,545,,1600,42653.0,3554.42,真案例,App/软件、内容/创作、运营工具、创意实验/好玩项目,Codex,开发者、设计/创作者,平台大赛、不会代码、免费工具、效率提升,有结果,强,,平台活动内容,product_build,做产品/工具,App/软件、课程/内容,Codex,工作提效,开发者、设计/创作者,0.78,keyword=vibecoding; 我花了2周时间用AI做出了一款火爆全网的app #Vibecoding #vibecoding大赏 @抖音科技 这是一款本人用 Codex零代码开发的一款Mac系统原生软件，是一款强大的效率工具！支持一秒直达应用、拼音首字母搜应用、截图、录屏、改图、剪视频、剪贴版等等高频使用场景的能力，整个软件安装包不到13MB，欢迎免费使用！,tikhub:douyin_keyword_search,vibecoding
douyin,Vibe Coding系列之：3步搞定，4分钟上手~ 哈喽啊朋友们~ 欢迎大家来到我的Vibe Coding系列的第一个视频！ 最近大家是不是经常刷到很多人靠自己Vibe Coding出了很多炫酷的作品？比如制作了各种游戏和桌面工具，学生党们是不是也想知道如何用AI提升自己的生产力？ 这期视频手把手教会大家上手Vibe Coding： 1 Claude Code的安装方法 2 接入最新满血版DeepSeek V 4 Pro 3 在Visual Studio Code中统一调度并开始使用 大家跟着我的视频来操作即可，视频里有详细的可能遇到的问题的解决说明，大家如果遇到新的问题也欢迎在评论区留言讨论~ 后面我会分享自己让AI更聪明，更有效率的技巧，大家可以期待一下~ #vibecoding #ai #claude #deepseek #抖音玩法合伙人计划,https://www.iesdouyin.com/share/video/7655285577612266802/?region=US&mid=7655285681077504806&u_code=0&did=MS4wLjABAAAAfKEZXNrboo_1ajqRtA2k77MgpJIzAXxJdgqShQWGLLY&iid=MS4wLjABAAAAWqobcScA7pxGV2NneXWu5HMkCpucXLOmFVaFfTGfo9Y&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=gGwq6AoByK79WPTCfLS8KXAJf1_1VwmwB_DFf2o8ycU-&share_version=320900&ts=1782807021&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p26-sign.douyinpic.com/tos-cn-i-dy/10281c584aeb49edacf9d874f61a06cf~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=2026063016102051E1FA42D588112D1CBC&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=avQz8wF79ELAxTsaS2%2FihZiTvQE%3D,博一搏,2026-06-25,531,49,,37,2098.0,419.6,真案例,内容/创作、创意实验/好玩项目、游戏/互动、运营工具,Claude、Claude Code、DeepSeek,学生/求职者、设计/创作者,几小时上线、效率提升、求职转行,有结果,强,,,creative_game_visual,创意可视化/小游戏,小游戏/互动、课程/内容,Claude、Claude Code、DeepSeek,工作提效、表达创意,学生/求职者、设计/创作者,0.57,keyword=vibecoding; Vibe Coding系列之：3步搞定，4分钟上手~ 哈喽啊朋友们~ 欢迎大家来到我的Vibe Coding系列的第一个视频！ 最近大家是不是经常刷到很多人靠自己Vibe Coding出了很多炫酷的作品？比如制作了各种游戏和桌面工具，学生党们是不是也想知道如何用AI提升自己的生产力？ 这期视频手把手教会大家上手Vibe Coding： 1 Claude Code的安装方法 2 接入最新满血版DeepSeek V 4 Pro 3 在Visual Studio Code中统一调度并开始使用 大家跟着我的视频来操作即可，视频里有详细的可能遇到的问题的解决说明，大家如果遇到新的问题也欢迎在评论区留言讨论~ 后面我会分享自己让AI更聪明，更有效率的技巧，大家可以期待一下~ #vibecoding #ai #claude #deepseek #抖音玩法合伙人计划,tikhub:douyin_keyword_search,vibecoding
douyin,vibe coding大赏！我的App终于破15万用户啦✨ 最近真的超开心——自己做的App用户数突破15万了！ #氛围编程 #ai编程 #vibecoding大赏 #iphone使用技巧分享,https://www.iesdouyin.com/share/video/7656465901181690788/?region=US&mid=7656465775661812499&u_code=0&did=MS4wLjABAAAAnfHHR24tYrXCZR0D70iNBiZN36s5wfqgaimU-5Sh8E_LSTGAOFlY94HcwYdTQBx5&iid=MS4wLjABAAAAeqD6hQCw7P9-oh70pBzbEIkPDA_cKK9zv-sFDWkDQPvEsqftKeg5YrWyIsrdbshf&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=iJT62Q51sVDQVTTLxL5luqJiC_uXyOFerimt7L2V0vc-&share_version=320900&ts=1782807044&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p3-sign.douyinpic.com/tos-cn-p-0015/oASuIbDeiAsJ9JBUAOgiAIyOEfOQ1NiBEB07BA~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=202606301610439BB49FDF97826E2912DA&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=Ynr1N7Jyzeq65i1rmCJVq9a572g%3D,夏季不闹,2026-06-28,1012,89,,118,3148.0,1574.0,真案例,App/软件,,,平台大赛,有结果,强,用户,平台活动内容,dev_productivity,开发提效/编程技巧,App/软件,,,,0.7,keyword=氛围编程; vibe coding大赏！我的App终于破15万用户啦✨ 最近真的超开心——自己做的App用户数突破15万了！ #氛围编程 #ai编程 #vibecoding大赏 #iphone使用技巧分享,tikhub:douyin_keyword_search,氛围编程
douyin,Codex App 从 0 到 1 开发小程序， 保姆级教程 #AI编程 #CodexApp #小程序开发 #AI编程实战 本期视频从 0 到 1 演示如何使用 Codex App 开发一个微信小程序。 这次会完整走一遍流程：先用 PRD 明确需求，再用 OpenDesign 生成小程序原型，然后把原型转换成微信小程序代码，接着对接微信云开发、云函数和数据库，最后再生成一个后台管理系统并完成部署。 如果你想了解 AI 编程工具到底能不能真正做出一个完整项目，这期视频会比较适合你。它不是单纯演示页面，而是尽量把小程序前端、云开发、数据接口、订单流程、后台管理和上线流程都串起来。 本期涉及工具：Codex App、OpenDesign、微信开发者工具、微信云开发、CloudBase。 #Vibecoding #vibecoding大赏,https://www.iesdouyin.com/share/video/7654574885963926799/?region=US&mid=7654575564795595539&u_code=0&did=MS4wLjABAAAAIdHs7yEd_P216I9ENo24u4Zk3lBk-C5oq_aWdSj_5r4&iid=MS4wLjABAAAA56g8YFGjJxczKknh9VitTyhKteoCIWCW586N__BCZ8Y&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=oypzEchjfsbF.U0bssJl.YR8bMomYev4PGmoVuFC2IM-&share_version=320900&ts=1782807053&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p3-sign.douyinpic.com/tos-cn-i-dy/a74eb51e5e9a40c7b0d9842c69eb150d~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=202606301610529242E5C22FABA4EB6B28&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=OhTogh8W6Es1HeRwH1I5RSg3ql4%3D,AI随风,2026-06-23,5030,741,,947,33531.0,4790.14,真案例,App/软件、内容/创作、小程序、自动化流程、创意实验/好玩项目,Codex,开发者、设计/创作者,完整流程、平台大赛,可复刻、有结果,强,,平台活动内容,product_build,做产品/工具,SaaS/后台、课程/内容、App/软件、小程序,Codex,学习入门、快速原型,开发者、设计/创作者,0.7,keyword=AI编程; Codex App 从 0 到 1 开发小程序， 保姆级教程 #AI编程 #CodexApp #小程序开发 #AI编程实战 本期视频从 0 到 1 演示如何使用 Codex App 开发一个微信小程序。 这次会完整走一遍流程：先用 PRD 明确需求，再用 OpenDesign 生成小程序原型，然后把原型转换成微信小程序代码，接着对接微信云开发、云函数和数据库，最后再生成一个后台管理系统并完成部署。 如果你想了解 AI 编程工具到底能不能真正做出一个完整项目，这期视频会比较适合你。它不是单纯演示页面，而是尽量把小程序前端、云开发、数据接口、订单流程、后台管理和上线流程都串起来。 本期涉及工具：Codex App、OpenDesign、微信开发者工具、微信云开发、CloudBase。 #Vibecoding #vibecoding大赏,tikhub:douyin_keyword_search,AI编程
douyin,怎么让 AI 写的代码敢上线?四步工作流 ！ #vibecoding大赏 #claudecode #软件开发 #青年创作者激励计划 #ai新星计划,https://www.iesdouyin.com/share/video/7652726291149425974/?region=US&mid=7449292832471353371&u_code=0&did=MS4wLjABAAAAggfURgXDUwKGIbEup4VJvQB40LNSD5gUFEUll7qDMOprV_36-iPBGD_KTCl5oxx4&iid=MS4wLjABAAAAE9rFDftscfnSfrTANfNd95tuIo0ZKC7FuQZbXQOdBgxTlY2cjepmncYDWM6QWfw2&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=z0W_sOpVV9E_olDeYzzs4cOKatW8XhkWIuPv.nlLl0Y-&share_version=320900&ts=1782807071&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p26-sign.douyinpic.com/tos-cn-i-dy/d74641748f7f408ea93ca44b30c979c8~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=2026063016111060757220B689C521ED19&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=mh91297lwUNVUe5mqJRYks8rn3M%3D,林克AI实战录,2026-06-18,1515,26,,200,8174.0,681.17,真案例,App/软件、自动化流程,Claude、Claude Code,开发者,平台大赛、完整流程、效率提升,可复刻、有结果,强,,平台活动内容,dev_productivity,开发提效/编程技巧,AI Agent/工作流、App/软件,Claude、Claude Code,工作提效,开发者,0.7,keyword=AI写代码; 怎么让 AI 写的代码敢上线?四步工作流 ！ #vibecoding大赏 #claudecode #软件开发 #青年创作者激励计划 #ai新星计划,tikhub:douyin_keyword_search,AI写代码
douyin,祖传💩山代码有救了！#ai创作浪潮计划 #大模型agent开发 #ai危机 #Ai工具 #ai工具测评,https://www.iesdouyin.com/share/note/7656835163905325190/?region=US&mid=7650551172826172166&u_code=0&did=MS4wLjABAAAAsqlRYnU5uDe-DiBY8fkl_mTCj7zvlHy4pR3JL2sZ4RoAch0UIjWzeIwnpQMZBwKq&iid=MS4wLjABAAAArjzsmK93Rbv1bTnqdUrl5zig6EfAJ6gx0PxqNiH_pVEvaY4ouxVi00KD5_NymXDa&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=ACzDwZo8Xd4luqujXfE7L2gWNlF2CWcEk.H78CHILZQ-&share_version=320900&ts=1782807086&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p3-sign.douyinpic.com/tos-cn-i-0813/owNNQVT9MEArAiwAEqogMoDfFUfAAChABIrCAQ~noop.webp?biz_tag=aweme_images&card_type=303&column_n=0&from=327834062_large&l=202606301611252A88D7ACAB07E8B53AD6&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=3LP4TWvdc5SYFlZBVlWLYoI5cOQ%3D,BThreeDevLab,2026-06-29,1403,4,,154,8076.0,8076.0,工具测评,AI agent,,开发者,,,弱,,,dev_productivity,开发提效/编程技巧,AI Agent/工作流,,,开发者,0.57,keyword=AI开发; 祖传💩山代码有救了！#ai创作浪潮计划 #大模型agent开发 #ai危机 #Ai工具 #ai工具测评,tikhub:douyin_keyword_search,AI开发
douyin,教你零代码手搓一个ai编导网站！ #豆包 #自媒体 #编导 #自媒体运营 #人类对豆包的开发不足百分之一,https://www.iesdouyin.com/share/video/7656740403021958409/?region=US&mid=7656740408946019099&u_code=0&did=MS4wLjABAAAAsqlRYnU5uDe-DiBY8fkl_mTCj7zvlHy4pR3JL2sZ4RoAch0UIjWzeIwnpQMZBwKq&iid=MS4wLjABAAAArjzsmK93Rbv1bTnqdUrl5zig6EfAJ6gx0PxqNiH_pVEvaY4ouxVi00KD5_NymXDa&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=9NXKYvSesjrqsHEIPUhSVGMOA3stSnZWgj3y6eqlhLI-&share_version=320900&ts=1782807086&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p9-sign.douyinpic.com/tos-cn-i-dy/ef1f0562d15c4b8e8d71decda3764e7d~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=202606301611252A88D7ACAB07E8B53AD6&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=mIIRruRKY5mSeyZn6Q0Zi%2BOZLOI%3D,浩然拙见,2026-06-30,16,0,,1,36.0,36.0,真案例,网站、运营工具,豆包,开发者、运营/营销,不会代码,有结果,强,,,dev_productivity,开发提效/编程技巧,网站,豆包,,开发者、运营/营销,0.62,keyword=AI开发; 教你零代码手搓一个ai编导网站！ #豆包 #自媒体 #编导 #自媒体运营 #人类对豆包的开发不足百分之一,tikhub:douyin_keyword_search,AI开发
douyin,学会这5种AI运镜，让你的vlog质感飙升 #ai运镜 #视频教程 #ai技巧 #在拍一种很新的vlog #青年创作者成长计划,https://www.iesdouyin.com/share/video/7652261498932268303/?region=US&mid=7652261519694351155&u_code=0&did=MS4wLjABAAAAAGXhqWcRirH6oOlN0ryBLyp1_c97WbQwBuJyQtZuJRdd18x70VfbYCAhx_VagxGA&iid=MS4wLjABAAAAFKXHhY-n3lXPcesMwdAayQdP20lgD9AGamruo4w7F_ChQPFq2NGxPr2ubVJJ_QrX&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=uPYGw2Z1WxkWok5.SkolOkjpwaCvrXDHwKyn7XiEn6I-&share_version=320900&ts=1782807095&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p26-sign.douyinpic.com/tos-cn-i-dy/7bffbdb65be54694a0d1c1fa841b5d49~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=202606301611331EA528B15C331EA24772&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=4l%2BTi8XBPEdii%2F74tcXYRK%2BdEoU%3D,画笔,2026-06-17,30449,353,,6146,166219.0,12786.08,教程,内容/创作,,设计/创作者,,可复刻,中,,,learning_tutorial,教程/课程/方法论,课程/内容,,学习入门,设计/创作者,0.95,keyword=AI 开发; 学会这5种AI运镜，让你的vlog质感飙升 #ai运镜 #视频教程 #ai技巧 #在拍一种很新的vlog #青年创作者成长计划,tikhub:douyin_keyword_search,AI 开发
douyin,AI 逐字敲代码这段画面，居然是 HTML 渲染出来的 先看这段——一个 AI 在代码编辑器里逐字生成，光标还在闪。这整段画面，是我用 HTML 写的，真渲染出来的，不是录屏。 工具叫 HyperFrames，HeyGen 开源的。思路就一句：浏览器把你的 HTML 渲染成画面，FFmpeg 再逐帧录成 MP4。每一秒、每个字什么时候出现，都是确定的，能复现、能 git 管理。 它天生给 AI agent 设计的。给 Codex 或 Claude 一句话需求，它自己写 HTML、预览、渲染出片，全程不用碰剪辑软件。 跟 Sora、可灵那种不一样——那些 prompt 进去是随机视频，每次都不同；HyperFrames 是白盒，每一帧都是你代码定的。 对程序员几乎零学习成本：CSS 动画、flexbox、keyframes 你早就会了，平移过来就是做视频。 我的判断：做视频正从剪辑师的活，变成写代码的活。会前端的人，已经攥着做视频的杠杆了。 你站哪边？评论区聊。 #HyperFrames #AI视频 #HTML #AI编程 #VibeCoding,https://www.iesdouyin.com/share/video/7652842666626944310/?region=US&mid=7652842660142533422&u_code=0&did=MS4wLjABAAAAllvsfb5nysvO1NHWryT2To71w57jjpByis-2Td0oKmB5rv2qE5d4hKxOOFg_ZYwJ&iid=MS4wLjABAAAAllXWZkscyETw27G_TySba14_30Z8fWhTTuebwlSZqkOfr6iJ4RP-_zLap31Drg5-&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=MPalgreQdeIORXVs3K7_WRON1Ph3TLyVu.Z__lTx4OA-&share_version=320900&ts=1782807103&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p11-sign.douyinpic.com/tos-cn-i-dy/79a13833bfc44443b49bc4bed115d252~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=20260630161142931C4ED6AD2C22D9BD0C&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=eVi1Nod1MVFIRPp7Dlt0qp%2Bu%2FqY%3D,罗码视界,2026-06-19,169,2,,9,599.0,54.45,真案例,AI agent、设计系统/视觉、3D建模/渲染、App/软件、内容/创作、求职/学习工具、创意实验/好玩项目,Claude、Codex、Kling、Sora,设计/创作者、开发者,免费工具,有结果,强,,,dev_productivity,开发提效/编程技巧,3D建模/渲染、AI Agent/工作流、App/软件、小游戏/互动、课程/内容,Claude、Codex、Kling、Sora,表达创意,设计/创作者、开发者,0.6,keyword=AI敲代码; AI 逐字敲代码这段画面，居然是 HTML 渲染出来的 先看这段——一个 AI 在代码编辑器里逐字生成，光标还在闪。这整段画面，是我用 HTML 写的，真渲染出来的，不是录屏。 工具叫 HyperFrames，HeyGen 开源的。思路就一句：浏览器把你的 HTML 渲染成画面，FFmpeg 再逐帧录成 MP4。每一秒、每个字什么时候出现，都是确定的，能复现、能 git 管理。 它天生给 AI agent 设计的。给 Codex 或 Claude 一句话需求，它自己写 HTML、预览、渲染出片，全程不用碰剪辑软件。 跟 Sora、可灵那种不一样——那些 prompt 进去是随机视频，每次都不同；HyperFrames 是白盒，每一帧都是你代码定的。 对程序员几乎零学习成本：CSS 动画、flexbox、keyframes 你早就会了，平移过来就是做视频。 我的判断：做视频正从剪辑师的活，变成写代码的活。会前端的人，已经攥着做视频的杠杆了。 你站哪边？评论区聊。 #HyperFrames #AI视频 #HTML #AI编程 #VibeCoding,tikhub:douyin_keyword_search,AI敲代码
douyin,如何让codex给你剪辑视频？ 以前做一条口播视频，剪口误、加字幕、做动效，至少1-2小时。现在我只用4个工具：Codex + video-use + Hyperframe + Remotion，全程用大白话指挥AI，15分钟出片。 不会代码没关系，会打字就行。#AI剪辑 #Codex #Hyperframe #视频制作 #AI工具推荐,https://www.iesdouyin.com/share/video/7655331958993538358/?region=US&mid=7655332011732716342&u_code=0&did=MS4wLjABAAAAJKTjDk_DKs51_VIp16qjCZOe3fsVvyV_inbD0q1WP-wQ5_w1mhEpQwNcSjrvH_yl&iid=MS4wLjABAAAA41q4H8lsjKnHfraWRFanpvWnFJMEqvKeoiivEfEsL27LUc11Y9lTVL4vmcqwdoUm&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=QKJ.WRgjfktvdSynX0BPnnOsY0jL_zxsptxUa20rXts-&share_version=320900&ts=1782807141&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p26-sign.douyinpic.com/tos-cn-i-dy/ea8c744e84af457493fc2b7ec54db444~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=202606301612192E3C4FB8B6B6F329F9A2&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=oFWDbu5FJrEzPIWjmFd1512hvNc%3D,伊娜AI实战笔记,2026-06-26,1301,59,,350,8962.0,2240.5,工具测评,内容/创作,Codex,开发者、设计/创作者、零基础用户,几小时上线、不会代码,,弱,,,dev_productivity,开发提效/编程技巧,课程/内容,Codex,快速原型,开发者、设计/创作者、零基础用户,0.78,keyword=Codex; 如何让codex给你剪辑视频？ 以前做一条口播视频，剪口误、加字幕、做动效，至少1-2小时。现在我只用4个工具：Codex + video-use + Hyperframe + Remotion，全程用大白话指挥AI，15分钟出片。 不会代码没关系，会打字就行。#AI剪辑 #Codex #Hyperframe #视频制作 #AI工具推荐,tikhub:douyin_keyword_search,Codex
douyin,让你的codex封神的两个必装插件 #codex #新手教学 #柳爷不迷糊,https://www.iesdouyin.com/share/video/7653327830620572969/?region=US&mid=7653327812883303174&u_code=0&did=MS4wLjABAAAAJKTjDk_DKs51_VIp16qjCZOe3fsVvyV_inbD0q1WP-wQ5_w1mhEpQwNcSjrvH_yl&iid=MS4wLjABAAAA41q4H8lsjKnHfraWRFanpvWnFJMEqvKeoiivEfEsL27LUc11Y9lTVL4vmcqwdoUm&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=T6K6C7jjeX0zZ710stPXW70n5nH3uXFpCT8WqZpmRwc-&share_version=320900&ts=1782807141&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,https://p3-sign.douyinpic.com/tos-cn-i-dy/cfe4cdf5af884e438c0ea5ba488103db~noop.webp?biz_tag=aweme_video&card_type=153&column_n=0&from=327834062_large&l=202606301612192E3C4FB8B6B6F329F9A2&lk3s=138a59ce&s=PackSourceEnum_SEARCH_SIN&sc=cover&se=false&x-expires=1784016000&x-signature=g9b4VENSOr%2FUzrsnHBP88U9s%2FLM%3D,柳爷不迷糊,2026-06-20,18496,689,,2825,95595.0,9559.5,工具测评,插件,Codex,,,,弱,,,dev_productivity,开发提效/编程技巧,,Codex,,,0.95,keyword=Codex; 让你的codex封神的两个必装插件 #codex #新手教学 #柳爷不迷糊,tikhub:douyin_keyword_search,Codex
